City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Rock Springs,US,78.24,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
596,Oussouye,SN,81.03,overcast clouds,12.485,-16.5469,Auberge du Routard
599,Porto Walter,BR,78.73,broken clouds,-8.2686,-72.7439,Secretaria de saúde
605,Itarema,BR,78.91,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
611,Kavaratti,IN,81.28,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
622,Diffa,NE,86.32,broken clouds,13.3154,12.6113,ProDAF/Diffa
624,Sao Jose Da Coroa Grande,BR,76.17,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
628,Istmina,CO,75.56,light rain,5.1605,-76.684,Hotel La Gran Estación Istmina
634,Mazamari,PE,78.51,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
644,Khorramshahr,IR,79.61,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
651,Pontal Do Parana,BR,75.72,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
653,Weyburn,CA,76.17,overcast clouds,49.6668,-103.8511,Perfect Inns & Suites
654,Mindelo,CV,77.38,few clouds,16.8901,-24.9804,Hotel Gaudi
655,Salta,AR,75.49,clear sky,-24.7859,-65.4117,Hotel Alejandro I
661,Eirunepe,BR,78.08,overcast clouds,-6.6603,-69.8736,Atrás de você
662,Tura,IN,75.72,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
663,Banes,CU,83.01,few clouds,20.9625,-75.7186,Hostal Iván y yailet
664,Mbini,GQ,76.64,overcast clouds,1.574,9.6134,
666,Nishihara,JP,84.25,scattered clouds,26.1842,127.7558,Minshuku Agaihama
667,Kandrian,PG,84.49,light rain,-6.2167,149.55,Kandrian Station
669,San Buenaventura,MX,87.82,broken clouds,27.0833,-101.5333,Hotel Gran Plaza
677,Padang,ID,76.95,overcast clouds,-0.9492,100.3543,Mercure Padang
680,Naranjal,EC,79.79,overcast clouds,-2.6667,-79.6167,Media Naranja
681,Tomatlan,MX,81.39,broken clouds,19.9333,-105.25,El Salvial
682,Moussoro,TD,88.95,few clouds,13.6408,16.4901,Hôtel Salama
